name,email,phone_number,branch
Mariusz Pawlak,mariusz.pawlak@gmail.com,48587424976,Warszawa
Ireneusz Adamczyk,ireneusz.adamczyk@gmail.com,48738731409,Warszawa
Lech Nowicki,lech.nowicki@gmail.com,48743137950,Łódź
Beata Grabowska,beata.grabowska@gmail.com,48745376765,Warszawa
Franciszek Kowalczyk,franciszek.kowalczyk@gmail.com,48512140276,Poznań
Bartłomiej Tomaszewski,bartłomiej.tomaszewski@gmail.com,48656104898,Gdańsk
Dawid Majewski,dawid.majewski@gmail.com,48663834777,Kraków
Karolina Dąbrowska,karolina.dąbrowska@gmail.com,48722297973,Warszawa
Marianna Kwiatkowska,marianna.kwiatkowska@gmail.com,48607964085,Łódź
Janina Ostrowska,janina.ostrowska@gmail.com,48538030448,Gdańsk
Nina Majewska,nina.majewska@gmail.com,48517134783,Gdańsk
Irena Woźniak,irena.woźniak@gmail.com,48678138796,Warszawa
Barbara Majewska,barbara.majewska@gmail.com,48745777795,Poznań
Beata Lewandowska,beata.lewandowska@gmail.com,48815731784,Warszawa
Justyna Wróblewska,justyna.wróblewska@gmail.com,48688291747,Kraków
Karol Nowakowski,karol.nowakowski@gmail.com,48594337008,Warszawa
Lucyna Jankowska,lucyna.jankowska@gmail.com,48693796669,Gdańsk
Dorota Lewandowska,dorota.lewandowska@gmail.com,48630731646,Poznań
Irena Mazur,irena.mazur@gmail.com,48653316563,Gdańsk
Daniel Michalak,daniel.michalak@gmail.com,48751425101,Warszawa
Jan Nowicki,jan.nowicki@gmail.com,48603879251,Kraków
Helena Zielińska,helena.zielińska@gmail.com,48594169469,Kraków
Janusz Witkowski,janusz.witkowski@gmail.com,48591464439,Warszawa
Cyprian Stępień,cyprian.stępień@gmail.com,48628529726,Łódź
Adrian Pietrzak,adrian.pietrzak@gmail.com,48540908618,Warszawa
Justyna Malinowska,justyna.malinowska@gmail.com,48727058181,Poznań
Lidia Pawłowska,lidia.pawłowska@gmail.com,48550324508,Kraków
Błażej Michalski,błażej.michalski@gmail.com,48788791259,Warszawa
Bartłomiej Kowalczyk,bartłomiej.kowalczyk@gmail.com,48535010858,Poznań
Krzysztof Baran,krzysztof.baran@gmail.com,48582351713,Łódź
Aneta Krawczyk,aneta.krawczyk@gmail.com,48535708487,Łódź
Franciszek Dąbrowski,franciszek.dąbrowski@gmail.com,48698100543,Poznań
Gabriela Grabowska,gabriela.grabowska@gmail.com,48520375535,Kraków
Dorota Pietrzak,dorota.pietrzak@gmail.com,48582508253,Poznań
Filip Nowak,filip.nowak@gmail.com,48698314489,Łódź
Dorota Michalak,dorota.michalak@gmail.com,48615525456,Warszawa
Maria Michalak,maria.michalak@gmail.com,48752293258,Gdańsk
Małgorzata Witkowska,małgorzata.witkowska@gmail.com,48550304788,Poznań
Aleksandra Nowicka,aleksandra.nowicka@gmail.com,48650792651,Warszawa
Gabriela Wójcik,gabriela.wójcik@gmail.com,48674885712,Poznań
