pesel,name,birth_date,phone_number,city,address,email
60081497423,Czesława Kwiatkowska,1960-08-14,48755942697,Gdańsk,Kwiatowa 12,czesława.kwiatkowska@gmail.com
50022874983,Dagmara Wójcik,1950-02-28,48683534607,Łódź,Al. Wojska Polskiego 11,dagmara.wójcik@gmail.com
87122163095,Jarosław Dudek,1987-12-21,48564670079,Gdańsk,Al. Waszyngtona 49,jarosław.dudek@gmail.com
78042357547,Janina Ostrowska,1978-04-23,48562981963,Gdańsk,Al. Wilanowska 51,janina.ostrowska@gmail.com
41112861413,Jakub Zalewski,1941-11-28,48551081350,Warszawa,Al. Armii Ludowej 72,jakub.zalewski@gmail.com
94010273367,Anna Piotrowska,1994-01-02,48561736103,Gdańsk,ul. Świętokrzyska 65,anna.piotrowska@gmail.com
53041295944,Grażyna Stępień,1953-04-12,48786413864,Warszawa,ul. Grójecka 12,grażyna.stępień@gmail.com
85081333823,Helena Kozłowska,1985-08-13,48664253902,Kraków,ul. Długa 79,helena.kozłowska@gmail.com
03311085481,Czesława Pawłowska,2003-11-10,48539949182,Poznań,Al. Prymasa Tysiąclecia 18,czesława.pawłowska@gmail.com
49101286647,Dorota Nowicka,1949-10-12,48547936462,Łódź,ul. Mokotowska 60,dorota.nowicka@gmail.com
92030481803,Celina Kaczmarek,1992-03-04,48616102892,Warszawa,Al. Jerozolimskie 18,celina.kaczmarek@gmail.com
56011757046,Alicja Wróblewska,1956-01-17,48760561216,Łódź,ul. Złota 72,alicja.wróblewska@gmail.com
58072037446,Janina Kozłowska,1958-07-20,48783308804,Łódź,Al. Armii Ludowej 51,janina.kozłowska@gmail.com
94021269650,Bolesław Dudek,1994-02-12,48632654243,Warszawa,ul. Puławska 91,bolesław.dudek@gmail.com
56121441750,Lech Wieczorek,1956-12-14,48731514167,Łódź,Al. Krakowska 81,lech.wieczorek@gmail.com
86042560535,Dominik Zając,1986-04-25,48705910392,Warszawa,ul. Wspólna 58,dominik.zając@gmail.com
65062038475,Arkadiusz Stępień,1965-06-20,48703708205,Kraków,Al. Wilanowska 56,arkadiusz.stępień@gmail.com
06242957883,Marta Kwiatkowska,2006-04-29,48577185825,Poznań,ul. Jana Pawła II 63,marta.kwiatkowska@gmail.com
78100267643,Justyna Michalak,1978-10-02,48525613053,Poznań,Al. KEN 4,justyna.michalak@gmail.com
77060852629,Jolanta Krawczyk,1977-06-08,48722491959,Warszawa,Al. Wojska Polskiego 72,jolanta.krawczyk@gmail.com
60101455493,Kazimierz Kaczmarek,1960-10-14,48774317404,Gdańsk,ul. Grójecka 4,kazimierz.kaczmarek@gmail.com
80071772611,Kazimierz Jaworski,1980-07-17,48736933044,Poznań,Al. Stanów Zjednoczonych 7,kazimierz.jaworski@gmail.com
73081062865,Anna Zając,1973-08-10,48644904156,Poznań,ul. Mokotowska 8,anna.zając@gmail.com
87121865080,Lidia Dudek,1987-12-18,48609753791,Warszawa,ul. Grójecka 81,lidia.dudek@gmail.com
95091119911,Kacper Woźniak,1995-09-11,48724141101,Kraków,Al. Jerozolimskie 59,kacper.woźniak@gmail.com
96091760725,Lucyna Jankowska,1996-09-17,48540487073,Kraków,ul. Nowy Świat 95,lucyna.jankowska@gmail.com
87042670020,Dagmara Wojciechowska,1987-04-26,48587565562,Warszawa,ul. Złota 59,dagmara.wojciechowska@gmail.com
91012022715,Krzysztof Michalak,1991-01-20,48550684077,Poznań,ul. Świętokrzyska 32,krzysztof.michalak@gmail.com
54110606951,Damian Jaworski,1954-11-06,48679537914,Kraków,Al. Jana III Sobieskiego 30,damian.jaworski@gmail.com
83011050213,Edward Tomaszewski,1983-01-10,48749930242,Kraków,Al. Jerozolimskie 99,edward.tomaszewski@gmail.com
45122514419,Filip Walczak,1945-12-25,48564312328,Gdańsk,ul. Mokotowska 11,filip.walczak@gmail.com
70112889899,Daniel Wróblewski,1970-11-28,48760975814,Gdańsk,ul. Świętokrzyska 89,daniel.wróblewski@gmail.com
83112455478,Józef Wojciechowski,1983-11-24,48710079079,Poznań,ul. Wspólna 8,józef.wojciechowski@gmail.com
88012393244,Celina Kamińska,1988-01-23,48719667089,Kraków,ul. Nowy Świat 65,celina.kamińska@gmail.com
68090240241,Ewa Sikora,1968-09-02,48652173000,Gdańsk,ul. Puławska 60,ewa.sikora@gmail.com
00302131677,Leon Walczak,2000-10-21,48731019112,Łódź,ul. Nowy Świat 39,leon.walczak@gmail.com
66080891299,Dominik Majewski,1966-08-08,48794733891,Gdańsk,Al. Zieleniecka 68,dominik.majewski@gmail.com
82020379375,Dawid Nowicki,1982-02-03,48773208837,Łódź,Al. Wojska Polskiego 27,dawid.nowicki@gmail.com
56080363540,Halina Nowakowska,1956-08-03,48738297513,Warszawa,ul. Puławska 45,halina.nowakowska@gmail.com
95050189278,Jerzy Nowicki,1995-05-01,48551181141,Poznań,ul. Chmielna 34,jerzy.nowicki@gmail.com
55030975026,Dorota Kowalczyk,1955-03-09,48733290067,Gdańsk,ul. Piotrkowska 5,dorota.kowalczyk@gmail.com
03221820864,Lidia Jankowska,2003-02-18,48700242637,Gdańsk,Al. Stanów Zjednoczonych 57,lidia.jankowska@gmail.com
82090661655,Antoni Piotrowski,1982-09-06,48520995358,Łódź,Al. Armii Ludowej 7,antoni.piotrowski@gmail.com
84101287748,Janina Wiśniewska,1984-10-12,48794532293,Kraków,ul. Grójecka 7,janina.wiśniewska@gmail.com
41122428596,Dawid Rutkowski,1941-12-24,48642791095,Warszawa,ul. Chmielna 29,dawid.rutkowski@gmail.com
45120409812,Karol Wróblewski,1945-12-04,48681204844,Poznań,ul. Chmielna 17,karol.wróblewski@gmail.com
72022543014,Krzysztof Kozłowski,1972-02-25,48680964022,Kraków,Al. Wilanowska 92,krzysztof.kozłowski@gmail.com
52073152625,Hanna Lewandowska,1952-07-31,48611288880,Poznań,ul. Piotrkowska 81,hanna.lewandowska@gmail.com
61121262054,Antoni Witkowski,1961-12-12,48570033540,Gdańsk,Al. KEN 13,antoni.witkowski@gmail.com
85031455878,Mariusz Kwiatkowski,1985-03-14,48692713872,Łódź,Al. Stanów Zjednoczonych 57,mariusz.kwiatkowski@gmail.com
55072131576,Bartosz Nowak,1955-07-21,48583361845,Gdańsk,Al. Prymasa Tysiąclecia 2,bartosz.nowak@gmail.com
04301378105,Izabela Jankowska,2004-10-13,48778681462,Gdańsk,Al. Niepodległości 23,izabela.jankowska@gmail.com
80122934063,Aleksandra Zając,1980-12-29,48634998854,Warszawa,Al. Waszyngtona 97,aleksandra.zając@gmail.com
66020506368,Kinga Wróbel,1966-02-05,48617454815,Poznań,ul. Złota 80,kinga.wróbel@gmail.com
66031572884,Celina Kwiatkowska,1966-03-15,48701005115,Kraków,ul. Świętokrzyska 37,celina.kwiatkowska@gmail.com
06300500624,Kinga Dudek,2006-10-05,48807381766,Kraków,ul. Grójecka 66,kinga.dudek@gmail.com
63092267650,Daniel Kowalczyk,1963-09-22,48589552938,Łódź,Al. Wilanowska 65,daniel.kowalczyk@gmail.com
93050638501,Aneta Malinowska,1993-05-06,48721584422,Gdańsk,Al. Zieleniecka 93,aneta.malinowska@gmail.com
51072781391,Edward Szewczyk,1951-07-27,48610409154,Kraków,Al. Jana III Sobieskiego 99,edward.szewczyk@gmail.com
95060374213,Filip Szewczyk,1995-06-03,48587052486,Poznań,Al. Solidarności 40,filip.szewczyk@gmail.com
57050277520,Helena Górska,1957-05-02,48624004487,Warszawa,ul. Piotrkowska 97,helena.górska@gmail.com
43080712597,Filip Zalewski,1943-08-07,48645597299,Gdańsk,Al. Armii Ludowej 49,filip.zalewski@gmail.com
59122497850,Adam Jaworski,1959-12-24,48626100203,Gdańsk,Al. Zieleniecka 42,adam.jaworski@gmail.com
96082590513,Bogdan Tomaszewski,1996-08-25,48621044058,Kraków,ul. Puławska 56,bogdan.tomaszewski@gmail.com
69062159477,Lech Piotrowski,1969-06-21,48636443689,Kraków,ul. Piotrkowska 38,lech.piotrowski@gmail.com
59080736543,Lidia Majewska,1959-08-07,48811348351,Łódź,ul. Nowy Świat 16,lidia.majewska@gmail.com
43050590097,Franciszek Nowakowski,1943-05-05,48566545049,Łódź,ul. Żwirki i Wigury 84,franciszek.nowakowski@gmail.com
87072151771,Ireneusz Jaworski,1987-07-21,48696467072,Gdańsk,Al. Wilanowska 72,ireneusz.jaworski@gmail.com
56121505773,Cezary Nowak,1956-12-15,48695668794,Łódź,ul. Żwirki i Wigury 53,cezary.nowak@gmail.com
52081463562,Marta Zielińska,1952-08-14,48776119463,Poznań,Al. Rzeczypospolitej 61,marta.zielińska@gmail.com
84053189224,Emilia Woźniak,1984-05-31,48651871524,Warszawa,Al. Jerozolimskie 52,emilia.woźniak@gmail.com
81011779084,Magdalena Kamińska,1981-01-17,48568795287,Gdańsk,Al. Stanów Zjednoczonych 6,magdalena.kamińska@gmail.com
86080955753,Henryk Wieczorek,1986-08-09,48555975186,Kraków,ul. Puławska 75,henryk.wieczorek@gmail.com
57021589096,Kajetan Wróblewski,1957-02-15,48698689340,Łódź,ul. Żwirki i Wigury 63,kajetan.wróblewski@gmail.com
