policy_id,start_date,end_date,coverage,agent_foreign_key,customer_foreign_key
375930,2012-01-25,2012-11-27,Travel insurance,Krystyna Mazur,71070773062
248141,2014-06-11,2014-12-29,Agricurtular insurance,Gabriela Kamińska,63030993193
580840,2020-11-12,2021-04-22,Health insurance,Julia Baran,53040361451
572373,2018-07-20,2018-10-03,Life insurance,Lech Adamczyk,82031239062
379957,2011-05-05,2011-08-05,Agricurtular insurance,Artur Michalski,42011578059
289482,2018-07-03,2018-11-04,Health insurance,Janusz Mazur,84061776346
847230,2015-07-26,2016-04-02,Home insurance,Edward Olszewski,49031425284
726381,2017-08-26,2018-07-26,Life insurance,Emil Pietrzak,84040217428
856894,2015-03-02,2015-07-25,Auto insurance,Artur Szewczyk,64111538434
982816,2014-10-26,2015-05-13,Agricurtular insurance,Anita Kowalczyk,67083107309
984813,2011-12-21,2012-08-24,Life insurance,Helena Kaczmarek,04270124213
967275,2020-01-14,2020-02-13,Auto insurance,Karol Wróbel,06233043997
537996,2014-11-04,2014-11-15,Agricurtular insurance,Maria Kamińska,88082679211
130660,2011-10-20,2012-02-08,Home insurance,Ireneusz Olszewski,99112331038
392965,2018-03-16,2018-11-16,Business insurance,Magdalena Piotrowska,73042430225
228029,2010-08-10,2011-02-24,Travel insurance,Edyta Wojciechowska,46121634342
617019,2017-03-15,2017-12-15,Life insurance,Kajetan Kamiński,45112145946
943849,2018-02-28,2018-12-21,Travel insurance,Anita Kowalczyk,79122716939
515014,2016-04-15,2017-04-13,Agricurtular insurance,Marta Sikora,50082357387
592106,2013-08-27,2014-05-19,Auto insurance,Błażej Mazur,94071179644
346481,2016-08-22,2016-09-03,Business insurance,Cyprian Jankowski,44062870463
651036,2013-02-25,2013-06-14,Agricurtular insurance,Alicja Stępień,86021765434
668530,2020-06-25,2020-06-26,Life insurance,Cyprian Jankowski,54020506136
716032,2019-01-25,2019-11-23,Agricurtular insurance,Dorota Kaczmarek,66072939576
563259,2016-09-28,2017-08-11,Life insurance,Błażej Olszewski,02302670233
305049,2017-06-05,2017-12-21,Travel insurance,Lucyna Nowicka,68110286350
775842,2016-12-28,2017-09-27,Home insurance,Aleksandra Sikora,97060705819
138159,2013-02-21,2013-06-29,Agricurtular insurance,Janina Woźniak,88020405874
382776,2018-01-19,2018-04-10,Life insurance,Julia Baran,84120686113
424773,2016-01-07,2016-08-13,Travel insurance,Edward Olszewski,95112952794
670384,2015-09-26,2016-06-14,Home insurance,Gabriel Wróbel,00251133641
276312,2018-12-05,2019-07-19,Home insurance,Monika Grabowska,76092487490
164546,2014-09-10,2015-01-20,Business insurance,Aneta Dudek,69021595050
161786,2016-05-09,2016-08-08,Auto insurance,Emil Nowicki,64020934420
577109,2019-08-05,2019-10-17,Agricurtular insurance,Gabriel Zieliński,63111294911
813587,2016-05-20,2017-04-01,Health insurance,Edward Olszewski,83051349917
169912,2020-07-09,2020-12-01,Travel insurance,Małgorzata Wiśniewska,59051542704
980776,2010-04-26,2010-04-27,Life insurance,Grażyna Wieczorek,47062045570
803399,2010-07-24,2011-03-24,Home insurance,Krystyna Mazur,56091306507
181242,2011-04-11,2011-10-25,Travel insurance,Henryk Szewczyk,04271978613
537893,2020-02-19,2020-03-06,Agricurtular insurance,Henryk Kowalski,49090645410
240420,2013-05-02,2013-06-28,Agricurtular insurance,Grażyna Wieczorek,46091177919
360549,2016-10-01,2017-08-01,Health insurance,Maria Kamińska,44061662131
247670,2019-04-01,2019-05-31,Business insurance,Dariusz Nowakowski,68122238998
778637,2016-10-22,2017-09-29,Life insurance,Krystyna Mazur,00292043565
694889,2018-08-22,2019-03-11,Agricurtular insurance,Lucyna Nowicka,51053143136
889034,2015-11-04,2016-09-08,Home insurance,Lech Adamczyk,87041658474
445986,2012-01-20,2012-05-02,Health insurance,Janina Mazur,93022857543
371951,2014-06-23,2014-10-26,Agricurtular insurance,Gabriela Dudek,72102525929
744486,2015-01-22,2015-06-10,Home insurance,Błażej Mazur,77080521873
733833,2016-08-11,2016-10-09,Home insurance,Aleksander Jabłoński,81050554985
259691,2017-07-13,2017-11-07,Travel insurance,Nina Rutkowska,71010732469
532728,2011-07-04,2011-11-10,Auto insurance,Lech Witkowski,52111109589
978054,2011-05-15,2011-08-08,Life insurance,Irena Szewczyk,52041476014
333692,2010-11-07,2011-03-02,Business insurance,Anita Olszewska,05261823537
598466,2010-09-02,2010-09-12,Life insurance,Leon Jabłoński,57103194378
338910,2010-11-26,2011-09-15,Agricurtular insurance,Dorota Szymańska,58020145854
826226,2013-03-08,2013-09-10,Home insurance,Monika Kamińska,46100584660
319473,2019-06-09,2020-05-27,Home insurance,Hanna Dudek,44032415742
543053,2014-05-25,2014-11-17,Business insurance,Maciej Witkowski,06261682629
